  _id , _uuid ,date,time,just_booted, reset_reason,uptime,fw_version,modem_fw_version,rsrp
225958,351901930025949,2025-09-25,01:40:51.686996,t,16,220843975,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
225855,351901930025949,2025-09-24,23:06:37.606025,t,16,211589600,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
225648,351901930025949,2025-09-24,20:43:43.134784,t,16,203014870,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
225632,351901930025949,2025-09-24,20:32:20.418151,t,16,202332152,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
225591,351901930025949,2025-09-24,19:56:55.770447,t,16,200207438,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
225519,351901930025949,2025-09-24,18:49:02.574508,t,16,196134078,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
225464,351901930025949,2025-09-24,17:52:52.820724,t,16,192764194,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
225449,351901930025949,2025-09-24,17:39:53.29834,t,16,191984681,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
225415,351901930025949,2025-09-24,17:04:29.451708,t,16,189860745,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
225377,351901930025949,2025-09-24,16:32:06.496692,t,16,187917735,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−82
225195,351901930025949,2025-09-24,14:19:15.687417,t,16,179946651,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
225137,351901930025949,2025-09-24,13:38:29.295469,t,16,177500177,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
225098,351901930025949,2025-09-24,13:11:25.290052,t,16,175876138,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
225091,351901930025949,2025-09-24,13:04:27.215871,t,16,175458036,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
225089,351901930025949,2025-09-24,13:03:33.291748,t,16,175404134,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−81
225077,351901930025949,2025-09-24,12:53:33.135104,t,16,174803945,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
224804,351901930025949,2025-09-24,08:56:03.694065,t,16,160554050,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
224745,351901930025949,2025-09-24,07:59:54.892195,t,16,157185129,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
224668,351901930025949,2025-09-24,07:04:44.811254,t,16,153874952,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
224556,351901930025949,2025-09-24,05:28:03.784087,t,16,148073737,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−76
224555,351901930025949,2025-09-24,05:26:26.417686,t,16,147976366,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−77
224484,351901930025949,2025-09-24,04:09:52.734814,t,16,143382550,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−78
224127,351901930025949,2025-09-23,21:48:22.896446,t,16,120491979,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−79
223959,351901930025949,2025-09-23,19:22:32.172447,t,16,111740986,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
223947,351901930025949,2025-09-23,19:15:14.891309,t,16,111303703,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
223743,351901930025949,2025-09-23,16:25:39.365297,t,16,101127841,v0.0.3-35-g0b0b003d-dirty,mfw_nrf9160_1.3.5,−80
