_id,_uuid,timestamp,just_booted,reset_reason,uptime,fw_version,modem_fw_version,rsrp
233137,359404230124472.0,2025-10-01 17:02:59.782841,t,16.0,40.0,v0.0.4,mfw_nrf91x1_2.0.2,-109.0
233090,359404230124472.0,2025-10-01 16:00:53.130833,t,16.0,512338.0,v0.0.4,mfw_nrf91x1_2.0.2,-107.0
233038,359404230124472.0,2025-10-01 15:06:12.250126,t,16.0,509057.0,v0.0.4,mfw_nrf91x1_2.0.2,-105.0
232657,359404230124472.0,2025-10-01 07:46:53.451392,t,16.0,482697.0,v0.0.4,mfw_nrf91x1_2.0.2,-106.0
232463,359404230124472.0,2025-10-01 05:08:28.005800,t,16.0,473192.0,v0.0.4,mfw_nrf91x1_2.0.2,-106.0
231904,359404230124472.0,2025-09-30 01:41:12.270177,t,16.0,374352.0,v0.0.4,mfw_nrf91x1_2.0.2,-113.0
231899,359404230124472.0,2025-09-30 01:21:34.835165,t,16.0,373175.0,v0.0.4,mfw_nrf91x1_2.0.2,-113.0
231892,359404230124472.0,2025-09-30 01:11:28.379229,t,16.0,372569.0,v0.0.4,mfw_nrf91x1_2.0.2,-113.0
231885,359404230124472.0,2025-09-30 00:50:13.957480,t,16.0,371293.0,v0.0.4,mfw_nrf91x1_2.0.2,-117.0
226859,359404230124472.0,2025-09-25 17:42:51.620512,t,16.0,39.0,v0.0.4,mfw_nrf91x1_2.0.2,-108.0
226858,359404230124472.0,2025-09-25 17:41:31.862406,t,16.0,246.0,v0.0.4,mfw_nrf91x1_2.0.2,-111.0
226787,359404230124472.0,2025-09-25 16:36:49.613094,t,2.0,59338.0,v0.0.4,mfw_nrf91x1_2.0.2,-130.0
225921,359404230124472.0,2025-09-25 00:37:09.935470,t,2.0,1757.0,v0.0.4,mfw_nrf91x1_2.0.2,-114.0
225886,359404230124472.0,2025-09-24 23:53:53.234674,t,16.0,5298.0,v0.0.4,mfw_nrf91x1_2.0.2,-114.0
225787,359404230124472.0,2025-09-24 22:29:38.579944,t,16.0,246.0,v0.0.4,mfw_nrf91x1_2.0.2,-113.0
222502,359404230124472.0,2025-09-22 22:09:39.172191,t,16.0,253.0,v0.0.4,mfw_nrf91x1_2.0.2,-102.0
222415,359404230124472.0,2025-09-22 21:03:26.135428,t,2.0,188.0,v0.0.4,mfw_nrf91x1_2.0.2,-102.0
222354,359404230124472.0,2025-09-22 20:19:45.302591,t,2.0,336949.0,v0.0.4,mfw_nrf91x1_2.0.2,-114.0
221704,359404230124472.0,2025-09-22 11:57:16.528249,t,2.0,306799.0,v0.0.4,mfw_nrf91x1_2.0.2,-126.0
221022,359404230124472.0,2025-09-21 15:05:32.527669,t,2.0,231693.0,v0.0.4,mfw_nrf91x1_2.0.2,-127.0
220751,359404230124472.0,2025-09-21 09:57:02.944475,t,2.0,213178.0,v0.0.4,mfw_nrf91x1_2.0.2,-127.0
218924,359404230124472.0,2025-09-18 22:58:14.339306,t,2.0,847.0,v0.0.4,mfw_nrf91x1_2.0.2,-135.0
218921,359404230124472.0,2025-09-18 22:57:28.361535,t,2.0,800.0,v0.0.4,mfw_nrf91x1_2.0.2,-133.0
218919,359404230124472.0,2025-09-18 22:56:04.167294,t,2.0,717.0,v0.0.4,mfw_nrf91x1_2.0.2,-136.0
218916,359404230124472.0,2025-09-18 22:49:38.848722,t,2.0,331.0,v0.0.4,mfw_nrf91x1_2.0.2,-133.0
218912,359404230124472.0,2025-09-18 22:36:06.959518,t,2.0,8078.0,v0.0.4,mfw_nrf91x1_2.0.2,-117.0
218834,359404230124472.0,2025-09-18 20:57:04.774365,t,2.0,2136.0,v0.0.4,mfw_nrf91x1_2.0.2,-118.0
218818,359404230124472.0,2025-09-18 20:31:59.807249,t,2.0,631.0,v0.0.4,mfw_nrf91x1_2.0.2,-119.0
218807,359404230124472.0,2025-09-18 20:12:59.771877,t,0.0,64997.0,v0.0.4,mfw_nrf91x1_2.0.2,-130.0
218120,359404230124472.0,2025-09-18 02:17:57.264786,t,0.0,492.0,v0.0.4,mfw_nrf91x1_2.0.2,-133.0
218119,359404230124472.0,2025-09-18 02:15:13.484971,t,0.0,328.0,v0.0.4,mfw_nrf91x1_2.0.2,-131.0
213822,359404230124472.0,2025-09-11 07:59:01.838763,t,0.0,2141.0,v0.0.4,mfw_nrf91x1_2.0.2,-72.0
