_id,_uuid,_timestamp,rpc,_ack_timestamp,_ack_status,timestamp,just_booted,reset_reason,uptime,fw_version,modem_fw_version,rsrp
30497,359404230082423.0,2025-10-01 07:11:44.011206,unlock,2025-10-01 07:11:46.841378,0.0,,,,,,,
30495,359404230082423.0,2025-10-01 07:08:44.881946,unlock,2025-10-01 07:08:47.6444,0.0,,,,,,,
30493,359404230082423.0,2025-10-01 07:07:25.886403,unlock,2025-10-01 07:07:28.281225,0.0,,,,,,,
30492,359404230082423.0,2025-10-01 07:07:06.338205,unlock,2025-10-01 07:07:06.527139,0.0,,,,,,,
30490,359404230082423.0,2025-10-01 06:56:37.199648,unlock,2025-10-01 06:56:37.326844,0.0,,,,,,,
30485,359404230082423.0,2025-10-01 05:56:50.590169,unlock,2025-10-01 05:56:50.76651,0.0,,,,,,,
30478,359404230082423.0,2025-10-01 05:07:54.938149,unlock,2025-10-01 05:07:55.076295,0.0,,,,,,,
30477,359404230082423.0,2025-10-01 05:06:36.150539,unlock,,,,,,,,,
30474,359404230082423.0,2025-10-01 05:00:53.153801,unlock,,,,,,,,,
30471,359404230082423.0,2025-10-01 04:44:08.271659,unlock,,,,,,,,,
30470,359404230082423.0,2025-10-01 04:42:21.404681,unlock,,,,,,,,,
30469,359404230082423.0,2025-10-01 04:38:06.174898,unlock,,,,,,,,,
30468,359404230082423.0,2025-10-01 04:37:58.435582,unlock,,,,,,,,,
30467,359404230082423.0,2025-10-01 04:37:48.561104,unlock,,,,,,,,,
30373,359404230082423.0,2025-09-30 10:59:30.796277,unlock,2025-09-30 10:59:32.230762,0.0,,,,,,,
30367,359404230082423.0,2025-09-30 10:26:43.934322,unlock,2025-09-30 10:26:46.146682,0.0,,,,,,,
30363,359404230082423.0,2025-09-30 09:53:36.222172,unlock,2025-09-30 09:53:36.395317,0.0,,,,,,,
30353,359404230082423.0,2025-09-30 08:32:48.751253,unlock,2025-09-30 08:32:48.95923,0.0,,,,,,,
30342,359404230082423.0,2025-09-30 07:20:41.829774,unlock,2025-09-30 07:20:44.465278,0.0,,,,,,,
30340,359404230082423.0,2025-09-30 07:07:59.389846,unlock,2025-09-30 07:08:01.586473,0.0,,,,,,,
30338,359404230082423.0,2025-09-30 07:06:03.696305,unlock,2025-09-30 07:06:06.395854,0.0,,,,,,,
30332,359404230082423.0,2025-09-30 06:46:02.911051,unlock,2025-09-30 06:46:05.750961,0.0,,,,,,,
30331,359404230082423.0,2025-09-30 06:45:49.823133,unlock,2025-09-30 06:45:49.994123,0.0,,,,,,,
30274,359404230082423.0,2025-09-29 12:28:31.901937,unlock,2025-09-29 12:28:34.870759,0.0,,,,,,,
30272,359404230082423.0,2025-09-29 12:07:30.517839,unlock,2025-09-29 12:07:30.717172,0.0,,,,,,,
30268,359404230082423.0,2025-09-29 10:53:41.99601,unlock,2025-09-29 10:53:42.158338,0.0,,,,,,,
30267,359404230082423.0,2025-09-29 10:53:34.780267,unlock,2025-09-29 10:53:36.311637,0.0,,,,,,,
30265,359404230082423.0,2025-09-29 10:21:07.931338,unlock,2025-09-29 10:21:08.155727,0.0,,,,,,,
30247,359404230082423.0,2025-09-29 07:48:57.424881,unlock,2025-09-29 07:48:59.194676,0.0,,,,,,,
30235,359404230082423.0,2025-09-29 07:14:29.768272,unlock,2025-09-29 07:14:29.997603,0.0,,,,,,,
30233,359404230082423.0,2025-09-29 07:12:24.250002,unlock,2025-09-29 07:12:24.476295,0.0,,,,,,,
30223,359404230082423.0,2025-09-29 06:16:00.244598,unlock,2025-09-29 06:16:00.396437,0.0,,,,,,,
30213,359404230082423.0,2025-09-29 05:04:30.272658,unlock,2025-09-29 05:04:30.548366,0.0,,,,,,,
30180,359404230082423.0,2025-09-28 15:53:37.803146,unlock,2025-09-28 15:53:37.999141,0.0,,,,,,,
30001,359404230082423.0,2025-09-26 21:36:58.841594,unlock,,,,,,,,,
29956,359404230082423.0,2025-09-26 12:22:32.314791,unlock,2025-09-26 12:22:32.556895,0.0,,,,,,,
29954,359404230082423.0,2025-09-26 11:37:38.301048,unlock,2025-09-26 11:37:40.959545,0.0,,,,,,,
29951,359404230082423.0,2025-09-26 11:07:09.894398,unlock,2025-09-26 11:07:10.078897,0.0,,,,,,,
29935,359404230082423.0,2025-09-26 09:46:57.224947,unlock,2025-09-26 09:46:57.439248,0.0,,,,,,,
29932,359404230082423.0,2025-09-26 09:23:02.015855,unlock,2025-09-26 09:23:03.98968,0.0,,,,,,,
29911,359404230082423.0,2025-09-26 07:07:55.357223,unlock,2025-09-26 07:07:56.633378,0.0,,,,,,,
29821,359404230082423.0,2025-09-25 12:20:27.333256,unlock,2025-09-25 12:20:28.47343,0.0,,,,,,,
29812,359404230082423.0,2025-09-25 12:01:44.50513,unlock,2025-09-25 12:01:44.725282,0.0,,,,,,,
